start_time;sleep_id;stage;end_time
2020-04-07 20:48:00.000;f18ba62b-e528-c433-52e1-66dbbcbd529e;40001;2020-04-07 20:51:00.000
2020-04-07 21:27:00.000;f18ba62b-e528-c433-52e1-66dbbcbd529e;40004;2020-04-07 21:33:00.000
2020-04-07 21:49:00.000;f18ba62b-e528-c433-52e1-66dbbcbd529e;40001;2020-04-07 21:50:00.000
2020-04-07 22:15:00.000;f18ba62b-e528-c433-52e1-66dbbcbd529e;40001;2020-04-07 22:16:00.000
2020-04-07 22:36:00.000;f18ba62b-e528-c433-52e1-66dbbcbd529e;40001;2020-04-07 22:37:00.000
2020-04-07 22:57:00.000;f18ba62b-e528-c433-52e1-66dbbcbd529e;40001;2020-04-07 22:58:00.000
2020-04-07 23:26:00.000;c2627b3f-5136-37c2-f726-e17e4bb4b2ec;40002;2020-04-07 23:43:00.000
2020-04-07 23:58:00.000;c2627b3f-5136-37c2-f726-e17e4bb4b2ec;40002;2020-04-08 00:02:00.000
2020-04-08 00:26:00.000;c2627b3f-5136-37c2-f726-e17e4bb4b2ec;40002;2020-04-08 00:48:00.000
2020-04-08 00:57:00.000;c2627b3f-5136-37c2-f726-e17e4bb4b2ec;40002;2020-04-08 01:15:00.000
2020-04-08 01:46:00.000;c2627b3f-5136-37c2-f726-e17e4bb4b2ec;40002;2020-04-08 02:02:00.000
2020-04-08 02:23:00.000;c2627b3f-5136-37c2-f726-e17e4bb4b2ec;40002;2020-04-08 02:30:00.000
2020-04-08 03:02:00.000;c2627b3f-5136-37c2-f726-e17e4bb4b2ec;40001;2020-04-08 03:08:00.000
2020-04-08 04:45:00.000;02f8d5f6-fff8-9e73-f218-18cf638394c6;40001;2020-04-08 04:46:00.000
2020-04-08 05:04:00.000;02f8d5f6-fff8-9e73-f218-18cf638394c6;40001;2020-04-08 05:06:00.000
2020-04-08 05:45:00.000;02f8d5f6-fff8-9e73-f218-18cf638394c6;40001;2020-04-08 05:46:00.000
2020-04-08 05:58:00.000;02f8d5f6-fff8-9e73-f218-18cf638394c6;40001;2020-04-08 05:59:00.000
2020-04-09 00:04:00.000;1fbf34e7-295d-8f5f-2b55-5bad006ac6c9;40001;2020-04-09 00:05:00.000
2020-04-09 00:47:00.000;1fbf34e7-295d-8f5f-2b55-5bad006ac6c9;40001;2020-04-09 00:48:00.000
2020-04-09 01:17:00.000;79966e7e-865e-0032-2b10-9cb5a9c96804;40002;2020-04-09 01:24:00.000
2020-04-09 02:21:00.000;79966e7e-865e-0032-2b10-9cb5a9c96804;40002;2020-04-09 02:22:00.000
2020-04-09 03:15:00.000;79966e7e-865e-0032-2b10-9cb5a9c96804;40001;2020-04-09 03:17:00.000
